@RELATION resultado

@ATTRIBUTE valor	numeric
@ATTRIBUTE class 	{saiu,nao}

@DATA
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,saiu
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,saiu
19,nao
20,nao
21,nao
22,nao
23,nao
24,saiu
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,saiu
25,saiu
26,nao
27,nao
1,saiu
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,saiu
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,saiu
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,saiu
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,saiu
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,saiu
27,nao
1,nao
2,nao
3,nao
4,saiu
5,nao
6,nao
7,saiu
8,saiu
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,saiu
5,nao
6,nao
7,nao
8,nao
9,saiu
10,nao
11,nao
12,nao
13,nao
14,saiu
15,nao
16,saiu
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,saiu
11,saiu
12,nao
13,nao
14,nao
15,nao
16,saiu
17,saiu
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,saiu
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,saiu
22,nao
23,saiu
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,saiu
27,saiu
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,saiu
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,saiu
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,saiu
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,saiu
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,saiu
8,saiu
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,saiu
17,nao
18,nao
19,nao
20,nao
21,saiu
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,saiu
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,saiu
13,saiu
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,saiu
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,saiu
11,nao
12,nao
13,nao
14,nao
15,saiu
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,saiu
23,nao
24,saiu
25,nao
26,nao
27,nao
1,saiu
2,nao
3,saiu
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,saiu
19,nao
20,saiu
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,saiu
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,saiu
1,nao
2,nao
3,nao
4,nao
5,nao
6,saiu
7,nao
8,saiu
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,saiu
24,saiu
25,saiu
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,saiu
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,saiu
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,saiu
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,saiu
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,saiu
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,saiu
25,nao
26,nao
27,saiu
1,nao
2,saiu
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,saiu
1,nao
2,saiu
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,saiu
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,saiu
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,saiu
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,saiu
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,saiu
24,nao
25,saiu
26,nao
27,nao
1,nao
2,nao
3,saiu
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,saiu
21,nao
22,nao
23,nao
24,saiu
25,nao
26,nao
27,nao
1,nao
2,saiu
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,saiu
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,saiu
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,saiu
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,saiu
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,saiu
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,saiu
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,saiu
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,saiu
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,saiu
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,saiu
14,nao
15,nao
16,nao
17,nao
18,saiu
19,nao
20,saiu
21,nao
22,nao
23,nao
24,nao
25,saiu
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,saiu
12,saiu
13,saiu
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,saiu
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,saiu
27,nao
1,saiu
2,saiu
3,nao
4,nao
5,saiu
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,saiu
21,nao
22,saiu
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,saiu
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,saiu
1,saiu
2,saiu
3,nao
4,nao
5,nao
6,nao
7,saiu
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,saiu
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,saiu
1,saiu
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,saiu
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,saiu
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,saiu
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,saiu
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,saiu
19,nao
20,nao
21,nao
22,nao
23,saiu
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,saiu
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,saiu
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,saiu
6,nao
7,nao
8,nao
9,saiu
10,nao
11,nao
12,nao
13,nao
14,saiu
15,nao
16,nao
17,saiu
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,saiu
20,nao
21,saiu
22,saiu
23,nao
24,saiu
25,nao
26,nao
27,saiu
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,saiu
17,nao
18,nao
19,nao
20,nao
21,saiu
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,saiu
10,nao
11,nao
12,nao
13,nao
14,saiu
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,saiu
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,saiu
3,nao
4,nao
5,nao
6,nao
7,saiu
8,saiu
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,saiu
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,saiu
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,saiu
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,saiu
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,saiu
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,saiu
13,saiu
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,saiu
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,saiu
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,saiu
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,saiu
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,saiu
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,saiu
20,saiu
21,nao
22,saiu
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,saiu
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,saiu
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,saiu
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,saiu
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,saiu
19,nao
20,nao
21,nao
22,nao
23,saiu
24,saiu
25,saiu
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,saiu
9,nao
10,nao
11,nao
12,nao
13,nao
14,saiu
15,nao
16,nao
17,nao
18,nao
19,nao
20,saiu
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,saiu
11,saiu
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,saiu
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,saiu
11,nao
12,nao
13,nao
14,saiu
15,nao
16,saiu
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,saiu
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,saiu
13,nao
14,nao
15,nao
16,nao
17,nao
18,saiu
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,saiu
11,saiu
12,saiu
13,nao
14,saiu
15,nao
16,saiu
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,saiu
5,nao
6,saiu
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,saiu
22,nao
23,nao
24,nao
25,nao
26,saiu
27,saiu
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,saiu
13,saiu
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,saiu
26,nao
27,nao
1,nao
2,nao
3,nao
4,saiu
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,saiu
21,nao
22,nao
23,nao
24,nao
25,nao
26,saiu
27,nao
1,nao
2,saiu
3,saiu
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,saiu
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,saiu
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,saiu
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,saiu
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,saiu
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,saiu
21,nao
22,nao
23,nao
24,saiu
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,saiu
27,nao
1,nao
2,saiu
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,saiu
11,nao
12,nao
13,saiu
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,saiu
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,saiu
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,saiu
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,saiu
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,saiu
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,saiu
6,nao
7,nao
8,nao
9,nao
10,saiu
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,saiu
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,saiu
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,saiu
8,nao
9,saiu
10,nao
11,saiu
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,saiu
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,saiu
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,saiu
19,nao
20,nao
21,saiu
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,saiu
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,saiu
24,nao
25,nao
26,nao
27,nao
1,saiu
2,saiu
3,nao
4,nao
5,nao
6,saiu
7,saiu
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,saiu
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,saiu
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,saiu
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,saiu
8,nao
9,saiu
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,saiu
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,saiu
26,nao
27,nao
1,nao
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,saiu
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,saiu
26,nao
27,nao
1,nao
2,nao
3,nao
4,saiu
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,nao
1,saiu
2,nao
3,nao
4,nao
5,nao
6,nao
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,saiu
15,nao
16,nao
17,nao
18,nao
19,nao
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
26,nao
27,saiu
1,nao
2,nao
3,nao
4,nao
5,nao
6,saiu
7,nao
8,nao
9,nao
10,nao
11,nao
12,nao
13,nao
14,nao
15,nao
16,nao
17,nao
18,nao
19,saiu
20,nao
21,nao
22,nao
23,nao
24,nao
25,nao
